vi	V(vbe)	I(Rb)	I(Rc)
2.499999999999991e+000	6.838820e-001	-1.816118e-005	5.652254e-003
2.509999999999991e+000	6.840370e-001	-1.825963e-005	5.681350e-003
2.519999999999990e+000	6.841912e-001	-1.835809e-005	5.710432e-003
2.529999999999990e+000	6.843447e-001	-1.845655e-005	5.739500e-003
2.539999999999990e+000	6.844974e-001	-1.855503e-005	5.768555e-003
2.549999999999990e+000	6.846494e-001	-1.865351e-005	5.797597e-003
2.559999999999989e+000	6.848007e-001	-1.875199e-005	5.826626e-003
2.569999999999989e+000	6.849512e-001	-1.885049e-005	5.855640e-003
2.579999999999989e+000	6.851011e-001	-1.894899e-005	5.884642e-003
2.589999999999989e+000	6.852502e-001	-1.904750e-005	5.913630e-003
2.599999999999989e+000	6.853987e-001	-1.914601e-005	5.942604e-003
2.609999999999988e+000	6.855465e-001	-1.924453e-005	5.971565e-003
2.619999999999988e+000	6.856935e-001	-1.934306e-005	6.000513e-003
2.629999999999988e+000	6.858400e-001	-1.944160e-005	6.029447e-003
2.639999999999988e+000	6.859857e-001	-1.954014e-005	6.058368e-003
2.649999999999988e+000	6.861307e-001	-1.963869e-005	6.087275e-003
2.659999999999987e+000	6.862751e-001	-1.973725e-005	6.116169e-003
2.669999999999987e+000	6.864189e-001	-1.983581e-005	6.145049e-003
2.679999999999987e+000	6.865621e-001	-1.993438e-005	6.173916e-003
2.689999999999987e+000	6.867045e-001	-2.003295e-005	6.202769e-003
2.699999999999986e+000	6.868464e-001	-2.013154e-005	6.231609e-003
2.709999999999986e+000	6.869876e-001	-2.023012e-005	6.260436e-003
2.719999999999986e+000	6.871282e-001	-2.032872e-005	6.289249e-003
2.729999999999986e+000	6.872682e-001	-2.042732e-005	6.318048e-003
2.739999999999986e+000	6.874076e-001	-2.052592e-005	6.346834e-003
2.749999999999985e+000	6.875464e-001	-2.062454e-005	6.375607e-003
2.759999999999985e+000	6.876846e-001	-2.072315e-005	6.404365e-003
2.769999999999985e+000	6.878222e-001	-2.082178e-005	6.433111e-003
2.779999999999985e+000	6.879592e-001	-2.092041e-005	6.461843e-003
2.789999999999985e+000	6.880956e-001	-2.101904e-005	6.490561e-003
2.799999999999984e+000	6.882315e-001	-2.111768e-005	6.519266e-003
2.809999999999984e+000	6.883668e-001	-2.121633e-005	6.547958e-003
2.819999999999984e+000	6.885015e-001	-2.131499e-005	6.576635e-003
2.829999999999984e+000	6.886357e-001	-2.141364e-005	6.605300e-003
2.839999999999983e+000	6.887693e-001	-2.151231e-005	6.633951e-003
2.849999999999983e+000	6.889024e-001	-2.161098e-005	6.662588e-003
2.859999999999983e+000	6.890349e-001	-2.170965e-005	6.691212e-003
2.869999999999983e+000	6.891669e-001	-2.180833e-005	6.719823e-003
2.879999999999983e+000	6.892983e-001	-2.190702e-005	6.748420e-003
2.889999999999982e+000	6.894293e-001	-2.200571e-005	6.777003e-003
2.899999999999982e+000	6.895596e-001	-2.210440e-005	6.805573e-003
2.909999999999982e+000	6.896895e-001	-2.220310e-005	6.834129e-003
2.919999999999982e+000	6.898189e-001	-2.230181e-005	6.862672e-003
2.929999999999982e+000	6.899477e-001	-2.240052e-005	6.891202e-003
2.939999999999981e+000	6.900761e-001	-2.249924e-005	6.919717e-003
2.949999999999981e+000	6.902038e-001	-2.259796e-005	6.948220e-003
2.959999999999981e+000	6.903312e-001	-2.269669e-005	6.976709e-003
2.969999999999981e+000	6.904581e-001	-2.279542e-005	7.005184e-003
2.979999999999980e+000	6.905844e-001	-2.289416e-005	7.033647e-003
2.989999999999980e+000	6.907102e-001	-2.299290e-005	7.062095e-003
2.999999999999980e+000	6.908356e-001	-2.309164e-005	7.090530e-003
3.009999999999980e+000	6.909605e-001	-2.319039e-005	7.118952e-003
3.019999999999980e+000	6.910849e-001	-2.328915e-005	7.147360e-003
3.029999999999979e+000	6.912089e-001	-2.338791e-005	7.175754e-003
3.039999999999979e+000	6.913323e-001	-2.348668e-005	7.204136e-003
3.049999999999979e+000	6.914554e-001	-2.358545e-005	7.232503e-003
3.059999999999979e+000	6.915780e-001	-2.368422e-005	7.260858e-003
3.069999999999979e+000	6.917000e-001	-2.378300e-005	7.289199e-003
3.079999999999978e+000	6.918217e-001	-2.388178e-005	7.317526e-003
3.089999999999978e+000	6.919429e-001	-2.398057e-005	7.345840e-003
3.099999999999978e+000	6.920637e-001	-2.407936e-005	7.374140e-003
3.109999999999978e+000	6.921840e-001	-2.417816e-005	7.402427e-003
3.119999999999978e+000	6.923039e-001	-2.427696e-005	7.430702e-003
3.129999999999977e+000	6.924233e-001	-2.437577e-005	7.458962e-003
3.139999999999977e+000	6.925423e-001	-2.447458e-005	7.487209e-003
3.149999999999977e+000	6.926609e-001	-2.457339e-005	7.515442e-003
3.159999999999977e+000	6.927791e-001	-2.467221e-005	7.543662e-003
3.169999999999976e+000	6.928968e-001	-2.477103e-005	7.571869e-003
3.179999999999976e+000	6.930141e-001	-2.486986e-005	7.600062e-003
3.189999999999976e+000	6.931310e-001	-2.496869e-005	7.628242e-003
3.199999999999976e+000	6.932476e-001	-2.506752e-005	7.656408e-003
3.209999999999976e+000	6.933637e-001	-2.516636e-005	7.684561e-003
3.219999999999975e+000	6.934793e-001	-2.526521e-005	7.712701e-003
3.229999999999975e+000	6.935946e-001	-2.536405e-005	7.740827e-003
3.239999999999975e+000	6.937095e-001	-2.546290e-005	7.768940e-003
3.249999999999975e+000	6.938240e-001	-2.556176e-005	7.797040e-003
3.259999999999975e+000	6.939381e-001	-2.566062e-005	7.825126e-003
3.269999999999974e+000	6.940518e-001	-2.575948e-005	7.853199e-003
3.279999999999974e+000	6.941651e-001	-2.585835e-005	7.881259e-003
3.289999999999974e+000	6.942781e-001	-2.595722e-005	7.909304e-003
3.299999999999974e+000	6.943906e-001	-2.605609e-005	7.937337e-003
3.309999999999973e+000	6.945028e-001	-2.615497e-005	7.965357e-003
3.319999999999973e+000	6.946145e-001	-2.625385e-005	7.993364e-003
3.329999999999973e+000	6.947260e-001	-2.635274e-005	8.021357e-003
3.339999999999973e+000	6.948370e-001	-2.645163e-005	8.049336e-003
3.349999999999973e+000	6.949477e-001	-2.655052e-005	8.077302e-003
3.359999999999972e+000	6.950580e-001	-2.664942e-005	8.105256e-003
3.369999999999972e+000	6.951680e-001	-2.674832e-005	8.133195e-003
3.379999999999972e+000	6.952776e-001	-2.684722e-005	8.161122e-003
3.389999999999972e+000	6.953868e-001	-2.694613e-005	8.189036e-003
3.399999999999972e+000	6.954957e-001	-2.704504e-005	8.216935e-003
3.409999999999971e+000	6.956043e-001	-2.714396e-005	8.244822e-003
3.419999999999971e+000	6.957124e-001	-2.724288e-005	8.272695e-003
3.429999999999971e+000	6.958203e-001	-2.734180e-005	8.300556e-003
3.439999999999971e+000	6.959278e-001	-2.744072e-005	8.328403e-003
3.449999999999970e+000	6.960349e-001	-2.753965e-005	8.356237e-003
3.459999999999970e+000	6.961417e-001	-2.763858e-005	8.384057e-003
3.469999999999970e+000	6.962482e-001	-2.773752e-005	8.411865e-003
3.479999999999970e+000	6.963543e-001	-2.783646e-005	8.439659e-003
3.489999999999970e+000	6.964601e-001	-2.793540e-005	8.467440e-003
3.499999999999969e+000	6.965656e-001	-2.803434e-005	8.495208e-003
3.509999999999969e+000	6.966708e-001	-2.813329e-005	8.522963e-003
3.519999999999969e+000	6.967756e-001	-2.823224e-005	8.550704e-003
3.529999999999969e+000	6.968801e-001	-2.833120e-005	8.578433e-003
3.539999999999969e+000	6.969842e-001	-2.843016e-005	8.606148e-003
3.549999999999968e+000	6.970881e-001	-2.852912e-005	8.633850e-003
3.559999999999968e+000	6.971917e-001	-2.862808e-005	8.661539e-003
3.569999999999968e+000	6.972948e-001	-2.872705e-005	8.689214e-003
3.579999999999968e+000	6.973978e-001	-2.882602e-005	8.716878e-003
3.589999999999967e+000	6.975003e-001	-2.892500e-005	8.744527e-003
3.599999999999967e+000	6.976026e-001	-2.902397e-005	8.772164e-003
3.609999999999967e+000	6.977046e-001	-2.912295e-005	8.799787e-003
3.619999999999967e+000	6.978063e-001	-2.922194e-005	8.827398e-003
3.629999999999967e+000	6.979077e-001	-2.932092e-005	8.854995e-003
3.639999999999966e+000	6.980087e-001	-2.941991e-005	8.882578e-003
3.649999999999966e+000	6.981095e-001	-2.951891e-005	8.910149e-003
3.659999999999966e+000	6.982099e-001	-2.961790e-005	8.937708e-003
3.669999999999966e+000	6.983101e-001	-2.971690e-005	8.965253e-003
3.679999999999966e+000	6.984100e-001	-2.981590e-005	8.992785e-003
3.689999999999965e+000	6.985096e-001	-2.991490e-005	9.020303e-003
3.699999999999965e+000	6.986089e-001	-3.001391e-005	9.047810e-003
3.709999999999965e+000	6.987079e-001	-3.011292e-005	9.075303e-003
3.719999999999965e+000	6.988066e-001	-3.021193e-005	9.102782e-003
3.729999999999965e+000	6.989051e-001	-3.031095e-005	9.130250e-003
3.739999999999964e+000	6.990033e-001	-3.040997e-005	9.157703e-003
3.749999999999964e+000	6.991012e-001	-3.050899e-005	9.185145e-003
3.759999999999964e+000	6.991987e-001	-3.060801e-005	9.212573e-003
3.769999999999964e+000	6.992961e-001	-3.070704e-005	9.239987e-003
3.779999999999963e+000	6.993931e-001	-3.080607e-005	9.267390e-003
3.789999999999963e+000	6.994899e-001	-3.090510e-005	9.294779e-003
3.799999999999963e+000	6.995864e-001	-3.100414e-005	9.322155e-003
3.809999999999963e+000	6.996827e-001	-3.110317e-005	9.349518e-003
3.819999999999963e+000	6.997786e-001	-3.120221e-005	9.376870e-003
3.829999999999962e+000	6.998743e-001	-3.130126e-005	9.404207e-003
