vin	V(vgs)	V(vo)	I(Rd)
2.143999999999962e+000	2.144000e+000	4.708968e+000	1.455160e-003
2.144999999999962e+000	2.145000e+000	4.703622e+000	1.481888e-003
2.145999999999962e+000	2.146000e+000	4.698184e+000	1.509083e-003
2.146999999999962e+000	2.147000e+000	4.692649e+000	1.536753e-003
2.147999999999962e+000	2.148000e+000	4.687019e+000	1.564906e-003
2.148999999999962e+000	2.149000e+000	4.681290e+000	1.593550e-003
2.149999999999962e+000	2.150000e+000	4.675461e+000	1.622692e-003
2.150999999999962e+000	2.151000e+000	4.669532e+000	1.652341e-003
2.151999999999962e+000	2.152000e+000	4.663499e+000	1.682505e-003
2.152999999999961e+000	2.153000e+000	4.657362e+000	1.713192e-003
2.153999999999961e+000	2.154000e+000	4.651118e+000	1.744409e-003
2.154999999999961e+000	2.155000e+000	4.644767e+000	1.776167e-003
2.155999999999961e+000	2.156000e+000	4.638306e+000	1.808472e-003
2.156999999999961e+000	2.157000e+000	4.631733e+000	1.841335e-003
2.157999999999961e+000	2.158000e+000	4.625047e+000	1.874764e-003
2.158999999999961e+000	2.159000e+000	4.618247e+000	1.908767e-003
2.159999999999961e+000	2.160000e+000	4.611330e+000	1.943353e-003
2.160999999999961e+000	2.161000e+000	4.604293e+000	1.978533e-003
2.161999999999960e+000	2.162000e+000	4.597137e+000	2.014315e-003
2.162999999999960e+000	2.163000e+000	4.589859e+000	2.050708e-003
2.163999999999960e+000	2.164000e+000	4.582456e+000	2.087723e-003
2.164999999999960e+000	2.165000e+000	4.574926e+000	2.125368e-003
2.165999999999960e+000	2.166000e+000	4.567269e+000	2.163654e-003
2.166999999999960e+000	2.167000e+000	4.559482e+000	2.202590e-003
2.167999999999960e+000	2.168000e+000	4.551563e+000	2.242187e-003
2.168999999999960e+000	2.169000e+000	4.543509e+000	2.282454e-003
2.169999999999960e+000	2.170000e+000	4.535319e+000	2.323403e-003
2.170999999999959e+000	2.171000e+000	4.526991e+000	2.365043e-003
2.171999999999959e+000	2.172000e+000	4.518523e+000	2.407385e-003
2.172999999999959e+000	2.173000e+000	4.509912e+000	2.450440e-003
2.173999999999959e+000	2.174000e+000	4.501156e+000	2.494218e-003
2.174999999999959e+000	2.175000e+000	4.492254e+000	2.538730e-003
2.175999999999959e+000	2.176000e+000	4.483202e+000	2.583989e-003
2.176999999999959e+000	2.177000e+000	4.473999e+000	2.630004e-003
2.177999999999959e+000	2.178000e+000	4.464643e+000	2.676788e-003
