vdd	V(vgs)	V(vo)	I(Rd)
Step Information: Vin=2.19  (Run: 1/3)
3.149999999999997e+000	2.255000e+000	1.203644e+000	9.731781e-003
3.199999999999997e+000	2.255000e+000	1.253644e+000	9.731781e-003
3.249999999999996e+000	2.255000e+000	1.303644e+000	9.731781e-003
3.299999999999996e+000	2.255000e+000	1.353644e+000	9.731781e-003
3.349999999999996e+000	2.255000e+000	1.403644e+000	9.731781e-003
3.399999999999996e+000	2.255000e+000	1.453644e+000	9.731781e-003
3.449999999999996e+000	2.255000e+000	1.503644e+000	9.731781e-003
3.499999999999996e+000	2.255000e+000	1.553644e+000	9.731781e-003
3.549999999999995e+000	2.255000e+000	1.603644e+000	9.731781e-003
3.599999999999995e+000	2.255000e+000	1.653644e+000	9.731781e-003
3.649999999999995e+000	2.255000e+000	1.703644e+000	9.731781e-003
3.699999999999995e+000	2.255000e+000	1.753644e+000	9.731781e-003
3.749999999999995e+000	2.255000e+000	1.803644e+000	9.731781e-003
3.799999999999995e+000	2.255000e+000	1.853644e+000	9.731781e-003
3.849999999999994e+000	2.255000e+000	1.903644e+000	9.731781e-003
3.899999999999994e+000	2.255000e+000	1.953644e+000	9.731781e-003
3.949999999999994e+000	2.255000e+000	2.003644e+000	9.731781e-003
3.999999999999994e+000	2.255000e+000	2.053644e+000	9.731781e-003
4.049999999999994e+000	2.255000e+000	2.103644e+000	9.731781e-003
4.099999999999993e+000	2.255000e+000	2.153644e+000	9.731781e-003
4.149999999999993e+000	2.255000e+000	2.203644e+000	9.731781e-003
4.199999999999993e+000	2.255000e+000	2.253644e+000	9.731781e-003
4.249999999999993e+000	2.255000e+000	2.303644e+000	9.731781e-003
4.299999999999993e+000	2.255000e+000	2.353644e+000	9.731781e-003
4.349999999999993e+000	2.255000e+000	2.403644e+000	9.731781e-003
4.399999999999992e+000	2.255000e+000	2.453644e+000	9.731781e-003
4.449999999999992e+000	2.255000e+000	2.503644e+000	9.731781e-003
4.499999999999992e+000	2.255000e+000	2.553644e+000	9.731781e-003
4.549999999999992e+000	2.255000e+000	2.603644e+000	9.731781e-003
4.599999999999992e+000	2.255000e+000	2.653644e+000	9.731781e-003
4.649999999999992e+000	2.255000e+000	2.703644e+000	9.731781e-003
4.699999999999991e+000	2.255000e+000	2.753644e+000	9.731781e-003
4.749999999999991e+000	2.255000e+000	2.803644e+000	9.731781e-003
4.799999999999991e+000	2.255000e+000	2.853644e+000	9.731781e-003
4.849999999999991e+000	2.255000e+000	2.903644e+000	9.731781e-003
4.899999999999991e+000	2.255000e+000	2.953644e+000	9.731781e-003
4.949999999999990e+000	2.255000e+000	3.003644e+000	9.731781e-003
5.000000000000000e+000	2.255000e+000	3.053644e+000	9.731781e-003
