v1	I(Dgreen)	I(Dred)	I(Dyellow)
2.579999999999989e+00	2.444244e-05	1.193451e-03	2.027430e-04
2.589999999999989e+00	2.653416e-05	1.249316e-03	2.190929e-04
2.599999999999989e+00	2.880066e-05	1.306291e-03	2.365240e-04
2.609999999999988e+00	3.125581e-05	1.364343e-03	2.550767e-04
2.619999999999988e+00	3.391448e-05	1.423436e-03	2.747889e-04
2.629999999999988e+00	3.679252e-05	1.483538e-03	2.956966e-04
2.639999999999988e+00	3.990689e-05	1.544614e-03	3.178329e-04
2.649999999999987e+00	4.327564e-05	1.606634e-03	3.412279e-04
2.659999999999987e+00	4.691801e-05	1.669566e-03	3.659085e-04
2.669999999999987e+00	5.085439e-05	1.733379e-03	3.918982e-04
2.679999999999987e+00	5.510645e-05	1.798043e-03	4.192171e-04
2.689999999999987e+00	5.969707e-05	1.863530e-03	4.478813e-04
2.699999999999986e+00	6.465046e-05	1.929812e-03	4.779034e-04
2.709999999999986e+00	6.999204e-05	1.996861e-03	5.092921e-04
2.719999999999986e+00	7.574861e-05	2.064652e-03	5.420527e-04
2.729999999999986e+00	8.194817e-05	2.133160e-03	5.761865e-04
2.739999999999986e+00	8.862002e-05	2.202360e-03	6.116916e-04
2.749999999999985e+00	9.579467e-05	2.272229e-03	6.485626e-04
2.759999999999985e+00	1.035038e-04	2.342744e-03	6.867911e-04
2.769999999999985e+00	1.117801e-04	2.413884e-03	7.263658e-04
2.779999999999985e+00	1.206573e-04	2.485628e-03	7.672727e-04
2.789999999999984e+00	1.301702e-04	2.557955e-03	8.094952e-04
2.799999999999984e+00	1.403540e-04	2.630848e-03	8.530148e-04
2.809999999999984e+00	1.512449e-04	2.704286e-03	8.978110e-04
2.819999999999984e+00	1.628793e-04	2.778253e-03	9.438613e-04
2.829999999999984e+00	1.752939e-04	2.852730e-03	9.911421e-04
2.839999999999983e+00	1.885255e-04	2.927703e-03	1.039629e-03
2.849999999999983e+00	2.026108e-04	3.003154e-03	1.089295e-03
2.859999999999983e+00	2.175860e-04	3.079070e-03	1.140115e-03
2.869999999999983e+00	2.334867e-04	3.155435e-03	1.192060e-03
2.879999999999983e+00	2.503477e-04	3.232234e-03	1.245104e-03
2.889999999999982e+00	2.682026e-04	3.309456e-03	1.299217e-03
2.899999999999982e+00	2.870838e-04	3.387087e-03	1.354374e-03
2.909999999999982e+00	3.070219e-04	3.465114e-03	1.410544e-03
2.919999999999982e+00	3.280458e-04	3.543526e-03	1.467702e-03
2.929999999999982e+00	3.501825e-04	3.622311e-03	1.525818e-03
2.939999999999981e+00	3.734565e-04	3.701458e-03	1.584866e-03
2.949999999999981e+00	3.978903e-04	3.780956e-03	1.644818e-03
2.959999999999981e+00	4.235035e-04	3.860796e-03	1.705649e-03
2.969999999999981e+00	4.503133e-04	3.940967e-03	1.767332e-03
2.979999999999980e+00	4.783342e-04	4.021461e-03	1.829842e-03
2.989999999999980e+00	5.075780e-04	4.102267e-03	1.893155e-03
2.999999999999980e+00	5.380535e-04	4.183378e-03	1.957246e-03
3.009999999999980e+00	5.697669e-04	4.264785e-03	2.022091e-03
3.019999999999980e+00	6.027218e-04	4.346479e-03	2.087668e-03
3.029999999999979e+00	6.369188e-04	4.428453e-03	2.153954e-03
3.039999999999979e+00	6.723563e-04	4.510700e-03	2.220929e-03
3.049999999999979e+00	7.090300e-04	4.593211e-03	2.288570e-03
3.059999999999979e+00	7.469333e-04	4.675981e-03	2.356858e-03
3.069999999999979e+00	7.860576e-04	4.759002e-03	2.425772e-03
3.079999999999978e+00	8.263921e-04	4.842268e-03	2.495295e-03
3.089999999999978e+00	8.679241e-04	4.925773e-03	2.565408e-03
3.099999999999978e+00	9.106393e-04	5.009510e-03	2.636092e-03
3.109999999999978e+00	9.545218e-04	5.093473e-03	2.707331e-03
3.119999999999977e+00	9.995544e-04	5.177658e-03	2.779108e-03
3.129999999999977e+00	1.045719e-03	5.262059e-03	2.851408e-03
3.139999999999977e+00	1.092995e-03	5.346669e-03	2.924214e-03
3.149999999999977e+00	1.141363e-03	5.431485e-03	2.997512e-03
3.159999999999977e+00	1.190802e-03	5.516501e-03	3.071287e-03
3.169999999999976e+00	1.241290e-03	5.601713e-03	3.145526e-03
3.179999999999976e+00	1.292805e-03	5.687115e-03	3.220216e-03
3.189999999999976e+00	1.345324e-03	5.772704e-03	3.295342e-03
3.199999999999976e+00	1.398824e-03	5.858475e-03	3.370893e-03
3.209999999999976e+00	1.453283e-03	5.944424e-03	3.446857e-03
3.219999999999975e+00	1.508678e-03	6.030547e-03	3.523222e-03
3.229999999999975e+00	1.564986e-03	6.116839e-03	3.599978e-03
3.239999999999975e+00	1.622184e-03	6.203298e-03	3.677112e-03
3.249999999999975e+00	1.680250e-03	6.289920e-03	3.754615e-03
3.259999999999974e+00	1.739160e-03	6.376700e-03	3.832477e-03
3.269999999999974e+00	1.798894e-03	6.463636e-03	3.910688e-03
3.279999999999974e+00	1.859429e-03	6.550724e-03	3.989238e-03
3.289999999999974e+00	1.920745e-03	6.637961e-03	4.068119e-03
3.299999999999974e+00	1.982819e-03	6.725343e-03	4.147322e-03
3.309999999999973e+00	2.045632e-03	6.812869e-03	4.226839e-03
3.319999999999973e+00	2.109164e-03	6.900534e-03	4.306660e-03
3.329999999999973e+00	2.173394e-03	6.988336e-03	4.386779e-03
3.339999999999973e+00	2.238305e-03	7.076272e-03	4.467188e-03
3.349999999999973e+00	2.303876e-03	7.164339e-03	4.547880e-03
3.359999999999972e+00	2.370090e-03	7.252535e-03	4.628847e-03
3.369999999999972e+00	2.436929e-03	7.340857e-03	4.710082e-03
3.379999999999972e+00	2.504376e-03	7.429303e-03	4.791580e-03
3.389999999999972e+00	2.572414e-03	7.517869e-03	4.873333e-03
3.399999999999971e+00	2.641027e-03	7.606555e-03	4.955335e-03
3.409999999999971e+00	2.710199e-03	7.695357e-03	5.037581e-03
3.419999999999971e+00	2.779915e-03	7.784273e-03	5.120064e-03
3.429999999999971e+00	2.850160e-03	7.873302e-03	5.202778e-03
