v4	V(n010)	I(Dgreen1)
4.849999999999941e+000	3.343513e+000	1.506487e-002
4.859999999999941e+000	3.344244e+000	1.515755e-002
4.869999999999941e+000	3.344972e+000	1.525028e-002
4.879999999999940e+000	3.345695e+000	1.534305e-002
4.889999999999940e+000	3.346414e+000	1.543586e-002
4.899999999999940e+000	3.347129e+000	1.552871e-002
4.909999999999940e+000	3.347840e+000	1.562160e-002
4.919999999999940e+000	3.348547e+000	1.571453e-002
4.929999999999939e+000	3.349251e+000	1.580749e-002
4.939999999999939e+000	3.349950e+000	1.590050e-002
4.949999999999939e+000	3.350646e+000	1.599354e-002
4.959999999999939e+000	3.351338e+000	1.608662e-002
4.969999999999939e+000	3.352026e+000	1.617974e-002
4.979999999999938e+000	3.352710e+000	1.627289e-002
4.989999999999938e+000	3.353391e+000	1.636609e-002
5.000000000000000e+000	3.354069e+000	1.645931e-002
