vi	V(vd1)	V(vo)	I(Red)
-6.640000000000072e+000	-3.067387e-008	-1.347750e+001	-1.348750e-011
-6.630000000000072e+000	-3.066918e-008	-1.347750e+001	-1.348749e-011
-6.620000000000072e+000	-3.066449e-008	-1.347749e+001	-1.348749e-011
-6.610000000000072e+000	-3.065979e-008	-1.347749e+001	-1.348749e-011
-6.600000000000073e+000	-3.065511e-008	-1.347749e+001	-1.348749e-011
-6.590000000000073e+000	-3.065041e-008	-1.347749e+001	-1.348749e-011
-6.580000000000073e+000	-3.064572e-008	-1.347749e+001	-1.348749e-011
-6.570000000000073e+000	-3.064103e-008	-1.347749e+001	-1.348749e-011
-6.560000000000073e+000	-3.063634e-008	-1.347749e+001	-1.348749e-011
-6.550000000000074e+000	-3.063165e-008	-1.347749e+001	-1.348749e-011
-6.540000000000074e+000	-3.062696e-008	-1.347748e+001	-1.348748e-011
-6.530000000000074e+000	-3.062227e-008	-1.347748e+001	-1.348748e-011
-6.520000000000074e+000	-3.061758e-008	-1.347748e+001	-1.348748e-011
-6.510000000000074e+000	-3.061289e-008	-1.347748e+001	-1.348748e-011
-6.500000000000075e+000	-3.060820e-008	-1.347748e+001	-1.348748e-011
-6.490000000000075e+000	-3.060351e-008	-1.347748e+001	-1.348748e-011
-6.480000000000075e+000	-3.059882e-008	-1.347748e+001	-1.348748e-011
-6.470000000000075e+000	-3.059412e-008	-1.347748e+001	-1.348748e-011
-6.460000000000076e+000	-3.058943e-008	-1.347747e+001	-1.348747e-011
